Ár,Place,Stig,Nr,Land,Perfomer,Lag
2024,25,16,14,Norway,Gåte,Ulveham
2023,26,18,21,Germany,Lord of the Lost,Blood & Glitter
2022,25,6,13,Germany,Malik Harris,Rockstars
2021,26,0,9,United Kingdom,James Newman,Embers
2019,26,11,16,United Kingdom,Michael Rice,Bigger Than Us
2018,26,39,8,Portugal,Cláudia Pascoal,O Jardim
2017,26,5,16,Spain,Manel Navarro,Do It For Your Lover
2016,26,11,10,Germany,Jamie-Lee,Ghost
2015,27,0,17,Germany,Ann Sophie,Black Smoke
2014,26,2,14,France,TWIN TWIN,Moustache
2013,26,5,26,Ireland,Ryan Dolan,Only Love Survives
2012,26,7,12,Norway,Tooji,Stay
2011,25,19,13,Switzerland,Anna Rossinelli,In Love For A While
2010,25,10,12,United Kingdom,Josh,That Sounds Good To Me
2009,25,22,24,Finland,Waldo's People,Lose Control
2008,25,14,2,United Kingdom,Andy Abraham,Even IF
2007,24,5,4,Ireland,Dervish,They Can't Stop The Spring
2006,24,1,7,Malta,Fabrizio Faniello,I Do
2005,24,4,17,Germany,Gracia,Run & Hide
2004,24,3,3,Norway,Knut Anders Sørum,High
2003,26,0,15,United Kingdom,Jemini,Cry Baby
2002,24,7,14,Denmark,Malene,Tell Me Who You Are
2001,22,3,4,Norway,Haldor Lægreid,On My Own
2001,22,3,2,Iceland,TwoTricky,Angel
2000,24,2,10,Belgium,Nathalie Sorce,Envie De Vivre
1999,23,1,3,Spain,Lydia,No Quiero Escuchar
1998,25,0,5,Switzerland,Gunvor,Lass Ihn
1997,24,0,15,Portugal,Célia Lawson,Antes Do Adeus
1997,24,0,3,Norway,Tor Endresen,San Francisco
1996,23,9,18,Finland,Jasmine,Niin Kaunis On Taivas
1995,23,1,3,Germany,Stone and Stone,Verliebt In Dich
1994,25,0,16,Lithuania,Ovidijus Vysniauskas,Lopsine Mylimai
1993,25,3,7,Belgium,Barbara,Iemand Als Jij
1992,23,4,12,Finland,Pave,Yamma Yamma
1991,22,0,6,Austria,Thomas Forstner,Venedig Im Regen
1990,21,8,22,Finland,Beat,Fri?
1990,21,8,9,Norway,Ketil Stokkan,Brandenburger Tor
1989,22,0,20,Iceland,Daníel Augúst Haraldsson,Það Sem Enginn Sér
1988,21,0,12,Austria,Wilfried,Lisa Mona Lisa
1987,22,0,10,Turkey,Seyyal Tanner and Lokomotif,Sarkim Sevgi üstüne
1986,20,4,15,Cyprus,Elpida,Tora Zo
1985,19,7,8,Belgium,Linda Lepomme,Laat Me Nu Gaan
1984,19,5,13,Austria,Anita,Einfach Weg
1983,19,0,7,Spain,Remedios Amaya,¿quién Maneja Mi Barca?
1983,19,0,6,Turkey,Çetin Alp and the Short Wave,Opera
1982,18,0,6,Finland,Kojo,Nuku Pommiin
1981,20,0,13,Norway,Finn Kalvik,Aldri I Livet
1980,19,6,10,Finland,Vesa-Matti Loiri,Huilumies
1979,18,5,12,Belgium,Micha Marah,Hey Nana
1979,18,5,18,Austria,Christina Simon,Heute In Jerusalem
1978,20,0,2,Norway,Jahn Teigen,Mil Etter Mil
1977,18,2,13,Sweden,Forbes,Beatles
1976,18,7,9,Norway,Anne-Karine Ström,Mata Hari
1975,19,3,13,Turkey,Semiha Yanki,Seninle Bir Dakika
1974,14,3,16,Portugal,Paulo de Carvalho,E Depois Do Adeus
1974,14,3,15,Switzerland,Piera Martell,Mein Ruf Nach Dir
1974,14,3,14,Germany,Cindy und Bert,Die Sommermelodie
1974,14,3,4,Norway,Anne-Karine Ström and the Bendik Singers,The First Day Of Love
1973,17,58,2,Belgium,Nicole and Hugo,"Baby, Baby"
1972,18,48,9,Malta,Helen and Joseph,L-imhabba
1971,18,52,2,Malta,Joe Grech,Marija L-maltija
1970,12,0,8,Luxembourg,David-Alexandre Winter,Je Suis Tombé Du Ciel
1969,16,1,12,Norway,Kirsti Sparboe,"Oj, Oj, Oj, Så Glad, Jeg Skal Bli"
1968,16,1,9,Finland,Kristina Hautala,Kun Kello Käy
1968,16,1,2,Netherlands,Ronnie Tober,Morgen
1967,17,0,6,Switzerland,Géraldine,Quel Coeur Vas-tu Briser?
1966,17,0,14,Italy,Domenico Modugno,Dio Come Ti Amo
1966,17,0,13,Monaco,Tereza,Bien Plus Fort
1965,15,0,16,Finland,Viktor Klimenko,Aurinko Laskee Länteen
1965,15,0,8,Belgium,Lize Marke,Als Het Weer Lente Is
1965,15,0,5,Germany,Ulla Wiesner,"Paradies, Wo Bist Du?"
1965,15,0,3,Spain,Conchita Bautista,"Qué Bueno, Qué Bueno"
1964,13,0,14,Switzerland,Anita Traversi,I Miei Pensieri
1964,13,0,13,Yugoslavia,Sabahudin Kurt,Zivot Je Sklopio Krug
1964,13,0,11,Portugal,António Calvário,Oração
1964,13,0,9,Germany,Nora Nova,Man Gewöhnt Sich So Schnell An Das Schöne
1963,13,0,13,Sweden,Monica Zetterlund,En Gång I Stockholm
1963,13,0,7,Finland,Laila Halme,Muistojeni Laulu
1963,13,0,5,Norway,Anita Thallaug,Solhverv
1963,13,0,2,Netherlands,Annie Palmen,Een Speeldoos
1962,13,0,2,Belgium,Fud Leclerc,Ton Nom
1962,13,0,8,Netherlands,De Spelbrekers,Katinka
1962,13,0,4,Austria,Eleonore Schwarz,Nur In Der Wiener Luft
1962,13,0,3,Spain,Victor Balaguer,Llámame
1961,15,1,11,Belgium,Bob Benny,"September, Gouden Roos"
1961,15,1,3,Austria,Jimmy Makulis,Sehnsucht
1960,13,1,3,Luxembourg,Camillo Felgen,So Laang We's Du Do Bast
1959,11,1,4,Monaco,Jacques Pills,Mon Ami Pierrot
1958,9,1,2,Netherlands,Corry Brokken,Heel De Wereld
1958,9,1,4,Luxembourg,Solange Berry,Un Grand Amour
1957,10,3,5,Austria,Bob Martin,"Wohin, Kleines Pony"
